dataset_name,file_path,file_type,sheet,separator,encoding,species_col,value_col,trait,metric,state,estimate,doi,filter_condition,post_processing,notes
"coleoptera","../data/mass/S1_File.xlsx","xlsx","1","","","Species","Mass (mg)","mass","mg","Live","Yes","https://doi.org/10.7717/peerj.12799/supp-1","","","Canadian Coleoptera Data"
"animaltraits","../data/mass/animaltraits.csv","csv","","comma","","species","body.mass","mass","kg","","No","https://animaltraits.org/","","","Excluded due to poor data origins"
"kuhsel","../data/mass/Kuhsel_2016_Insect_data.csv","csv","","comma","","Species","Dry.mass..mg.","mass","mg","Dry","No","https://doi.org/10.1111/1744-7917.12362","","","Surface Area-Volume Data"
"orthoptera","../data/mass/orthoptera_mass.csv","csv","","tab","","Species","Live.Weight..g.","mass","g","Live","No","https://doi.org/10.1665/1082-6467-17.2.301","","","Orthoptera mass data"
"bruckner","../data/mass/bruckner_2017_arthropods.csv","csv","","comma","","Species","body.mass","mass","mg","Dry","","https://doi.org/10.1371/journal.pone.0175001","","","Pollinator data"
"kinsella","../data/mass/KinsellaBiomass.csv","csv","","comma","","SPECIES","PRED_DRY_MASS","mass","mg","Dry","Yes","https://doi.org/10.1002%2Fece3.6546","","","Predicted Lepidoptera data"
"horne","../data/mass/Horne_2018_Arthropods.csv","csv","","comma","","Species","Dry.Mass..mg.","mass","mg","Dry","No","https://doi.org/10.1111/1365-2435.13031","","","Arthropod data collation"
"pollimetry","../data/mass/kendall_2019_pollimetry_dataset.rdata","rdata","","","","Species","Spec.wgt","mass","mg","Dry","","https://doi.org/10.1002/ece3.4835","","","Pollimetry dataset"
"leiva","../data/mass/Leiva_et_al_DataBase_PhilTransB_update.csv","csv","","comma","","species","body_mass","mass","mg","","","https://doi.org/10.1098/rstb.2019.0035","","","Ectotherm data collation"
"woodcock","../data/mass/woodcock.csv","csv","","comma","","Species","Mass","mass","mg","Dry","No","https://doi.org/10.5285/78408af3-452f-41af-95f3-ffc13b05c232","","","Data quality concerns"
"gtdrift_mass","../data/mass/GTDrift_life_history_traits.tab","csv","","tab","UTF-8","species","value","mass","kg","","","https://doi.org/10.1101/2024.01.23.576799","life_history_traits == 'weight_kg'","","Excluded due to poor data origins"
"gtdrift_size","../data/mass/GTDrift_life_history_traits.tab","csv","","tab","UTF-8","species","value","size","cm","","","https://doi.org/10.1101/2024.01.23.576799","life_history_traits == 'length_cm'","","Excluded due to poor data origins"
"opdb","../data/size/opdb.csv","csv","","comma","","GenusSpecies","body_lengths","size","mm","","Yes","https://doi.org/10.1038/s41597-019-0318-9","","","Odonate Phenotypic Database"
"brose","../data/size/bodysizes_2008.txt","csv","","tab","UTF-8","Taxonomy.consumer","Mean.mass..g..consumer","mass","g","Live","Yes","https://doi.org/10.1890/05-0379","!Metabolic.category.consumer %in% c('heterotrophic bacteria','heterotrophic fungi')","","Consumer Body Sizes"
"arthropodtraits","../data/size/ArthropodSpeciesTraits.txt","csv","","tab","UTF-8","SpeciesID","Body_Size","size","mm","","","https://doi.org/10.1038/sdata.2015.13","","","Excluded due to poor data origins"
"mwelling","../data/size/European_&_Maghreb_Butterfly_Trait_data_v1.2.xlsx","xlsx","1","","","Taxa name","mean_row","size","mm","","Yes","https://doi.org/10.1038/s41597-020-00697-7","","calculate_mean_row","European butterfly data"
"leptraits","../data/size/leptraits.csv","csv","","comma","","Species","FW_U","size","cm","","Yes","https://doi.org/10.1038/s41597-022-01473-5","","","Lepidoptera traits"
"hagge","../data/mass/haggesaproxyl.csv","csv","","comma","","species","body_length","size","mm","","No","https://doi.org/10.5061/dryad.2fqz612p3","","","Saproxylic species"
"gillespie","../data/size/gillespie2017beetles.xlsx","xlsx","1","","","Species","Mean body size (mm)","size","mm","","No","https://doi.org/10.1002%2Fece3.2732","","fix_header","Beetle body sizes"
"white","../data/paul_huxley_data/arthropod-data-from-White-et-al-Metabolic-Scaling.csv","csv","","comma","","Species","max.mass.g","mass","g","Live","No","https://doi.org/10.1126/science.abm7649","","","Metabolic scaling data"
"ehnes","../data/paul_huxley_data/Ehnes.csv","csv","","comma","","Species","weight..mg.","mass","mg","Live","No","https://doi.org/10.1111/j.1461-0248.2011.01660.x","","","Ehnes data"
"meehan","../data/paul_huxley_data/Meehan.csv","csv","","comma","","Species","Live.Mass..mg.","mass","mg","Live","No","https://doi.org/10.1086/505997","","","Meehan data"
"dillon","../data/paul_huxley_data/dillon.csv","csv","","comma","","X.order.species","dry.mass.mg.","mass","mg","Dry","No","https://doi.org/10.1371/journal.pone.0084308","","","Dillon data"
